TC ID,Test Scenario,Preconditions,Priority,Severity,Module,URL,Test Steps,Data,Expected Result,Actual Result,Status,Defects
TC001,Valid Login,"User exists, on Login page",P1,Critical,Login,Login,"1. Open Login page 
2. Enter valid email & password 
3. Click Login","Email: shuvo...
password: Shuvo...",User logged in & redirected to dashboard,User logged in & redirected to dashboard/my-account,Passed,-
TC002,Invalid Login (wrong password),On Login page,P1,High,Login,Login,"1. Enter valid email 
2. Enter wrong password 
3. Click Login","Email: shuvo...
password: djf...","""Invalid credentials""","""Invalid credentials""",Passed,-
TC003,Empty Fields Validation (Login),On Login page,P2,Medium,Login,Login,"1. Leave both fields empty 
2. Click Login",N/A,Required-field validation shown,The email field is required.,Passed,-
TC004,Invalid Email Format (Login),On Login page,P2,Medium,Login,Login,"1. Enter invalid email format 
2. Enter password 
3. Click Login",abc@xyz,Client-side/email-format validation,These credentials do not match our records.,Failed,DEF-001
TC005,Password Masking,On Login page,P2,Low,Login,Login,"1. Type password in field 
2. Observe characters",N/A,Characters masked; show/hide toggle works,This feature are not here.,Failed,DEF-002
TC006,Remember Me,On Login page,P2,Medium,Login,Login,"1. Tick ""Remember me"" 
2. Login 
3. Close & reopen browser 
4. Revisit site",valid creds,Session persisted / user still logged in,Session persisted / user still logged in,Passed,-
TC007,Forgot Password Flow,On Login page,P2,High,Login,Reset,"1. Click ""Forgot Password"" 
2. Enter registered email 
3. Submit",registered email,Reset link / instructions sent to email,Reset link / instructions sent to email,Passed,-
TC008,Multiple Wrong Attempts / Lockout,On Login page,P1,Critical,Login,Login,1. Attempt login with wrong credentials 5+ times,invalid creds,Account locked / captcha displayed / delay shown,Multiple invalid attempts allowed without lockout/captcha.,Failed,DEF-003
TC009,Valid Registration,On Register page,P1,High,Registration,Register,"1. Open register 
2. Fill valid details
3. Submit",valid details,Account created + confirmation email,Account created but no confirmation email send,Failed,DEF-004
TC010,Duplicate Email Registration,On Register page,P2,High,Registration,Register,"1. Register with existing email 
2. Submit",existing email,"Error ""Email already exists""","Error ""Email already exists""",Passed,-
TC011,Password Strength Validation,Register page,P2,Medium,Registration,Register,"1. Enter weak password 
2. Submit",12345,Password strength error / suggestions,The password must be at least 8 characters.,Passed,-
TC012,Confirm Password Match,Register page,P2,Medium,Registration,Register,"1. Enter password 
2. Enter different confirm password 
3. Submit",mismatch pwd,"Validation: ""Passwords do not match""",The password confirmation does not match.,Passed,-
TC013,Homepage Load (performance & assets),Browser open,P1,Medium,Homepage,Homepage,"1. Open homepage 
2. Wait full load",N/A,Page loads without errors; <acceptable load time>,Page loads without errors; <181ms>,Passed,-
TC014,Verify Title & Meta,Homepage,P2,Low,Homepage/SEO,Homepage,1. Check browser tab title & meta description,N/A,Correct title & meta present,Correct title & meta present,Passed,-
TC015,Logo Click Redirects Home,Any page,P2,Low,Navigation,Homepage,"1. Click site logo 
2. Observe redirect",N/A,Redirects to homepage,Redirects to homepage,Passed,-
TC016,Main Menu Links,Homepage loaded,P2,Medium,Navigation,Homepage,1. Click top menu items,N/A,Each link navigates to correct page,Each link navigates to correct page,Passed,-
TC017,Category / Submenu Navigation,Homepage,P2,Medium,Navigation,Shop,1. Hover shop → click category,N/A,Category listing opens & products shown,Category listing opens & products shown,Passed,-
TC018,Currency Switcher,Homepage,P2,Low,UI,Homepage,"1. Switch currency BDT/USD/INR 
2. Observe prices",N/A,Prices update to selected currency,Prices update to selected currency,Passed,-
TC019,Search Bar Results,Homepage,P2,Medium,Search,Search,"1. Enter ""IDM"" 
2. Submit search",Keyword: IDM,Relevant product results appear,Showing 1-7 of 7 result,Passed,-
TC020,Featured / Best Sellers Presence,Homepage,P2,Low,Homepage,Homepage,1. Check featured & best-sellers section,N/A,Featured items show price/availability,Featured items show price/availability,Passed,-
TC021,Product Listing — Open Product,Shop page,P1,Medium,Product,Product,"1. Click a product 
2. Open product detail",N/A,Product detail page opens,Product detail page opens,Passed,-
TC022,Product Name & SKU Display,Product detail,P2,Medium,Product,Product,1. Check product title & SKU,N/A,Correct product name & SKU shown,Correct product name & SKU shown,Passed,-
TC023,Product Price & Discount,Product detail,P2,Medium,Product,Product,"1. Check price, old price, discount",N/A,Prices & savings displayed correctly,Prices & savings displayed correctly,Passed,-
TC024,Product Description & Specs,Product detail,P2,Medium,Product,Product,1. Read description/specs,N/A,Description complete & formatted,Description complete & formatted,Passed,-
TC025,Product Image Zoom / Gallery,Product detail,P2,Low,Product,Product,"1. Click image 
2. Use gallery/zoom",N/A,Image zoom/gallery works,Image zoom/gallery works,Passed,-
TC026,Add To Cart (single item),Product detail,P1,Critical,Cart/Product,Cart,"1. Click Add To Cart
2. Go to cart",N/A,Item added to cart; cart count updates,Item added to cart; cart count updates,Passed,-
TC027,Buy Now (direct checkout),Product detail,P1,Critical,Product/Checkout,Checkout,"1. Click Buy Now 
2. Observe redirect",N/A,Redirects to checkout with item pre-filled,Redirects to checkout with item pre-filled,Passed,-
TC028,Product Delivery Type (Digital),Product detail,P2,Medium,Product,Checkout,"1. Check ""Digital Delivery"" label",N/A,Digital items flagged; shipping hidden,Digital items flagged; shipping fields hidden,Passed,-
TC029,Reviews & Q&A Functionality,Product detail,P2,Low,Product,Product,"1. Read reviews 
2. Post question",N/A,Reviews visible; Q&A works,Reviews visible; Q&A works,Passed,-
TC030,Related Products / Upsells,Product detail,P2,Medium,Product,Product,"1. Scroll to related products 
2. Click one",N/A,Related products show & link correctly,Related/upsell products show & link correctly,Passed,-
TC031,View Cart Page,Item added to cart,P1,Medium,Cart,Cart,1. Open cart page,N/A,Cart lists added items with price/qty,Cart lists added items with price/qty,Passed,-
TC032,Update Quantity in Cart,Cart page open,P2,Medium,Cart,Cart,"1. Change quantity 
2. Click update",Increase qty,Totals update accordingly,Totals update accordingly,Passed,-
TC033,Remove Item from Cart,Cart populated,P2,Medium,Cart,Cart,1. Click remove/delete,N/A,Item removed; cart updated,Item removed; cart updated,Passed,-
TC034,Continue Shopping Button,Cart page,P2,Low,Navigation,Shop,1. Click Continue Shopping,N/A,Redirects back to shop/listing,Redirects back to shop/listing,Passed,-
